key,value,formatted,source,league,analysis,sample,estimand
NFLCrossingNinetyFiveResidual,0.0126970141150922,1.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,residual
NFLCrossingNinetyFiveStrictCILower,-0.00177993603076654,-0.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal_strict,ci_lower
NFLCrossingNinetyFiveStrictCIUpper,0.0288310330523005,2.9\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal_strict,ci_upper
NFLCrossingNinetyFiveStrictEpisodes,1841,"1,841",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal_strict,episodes
NFLCrossingNinetyFiveStrictGames,1771,"1,771",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal_strict,games
NFLCrossingNinetyFiveStrictImplied,0.0331265073329712,3.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal_strict,implied_loss
NFLCrossingNinetyFiveStrictLoss,0.0461705594785443,4.6\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal_strict,observed_loss
NFLCrossingNinetyFiveStrictResidual,0.013044052145573,1.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal_strict,residual
NFLCrossingNinetyGames,1818,"1,818",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,games
NFLCrossingNinetyImplied,0.0756960992907801,7.6\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,implied_loss
NFLCrossingNinetyLoss,0.0851063829787234,8.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,observed_loss
NFLCrossingNinetyNineCILower,0.00244979965005754,0.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,ci_lower
NFLCrossingNinetyNineCIUpper,0.0221003782759892,2.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,ci_upper
